[20] train loss: 0.5492189675569534, lr: 9.994393622037023e-05
[5100] train loss: 0.3874281719326973, lr: 9.776754450285807e-05
[5120] train loss: 0.5513226985931396, lr: 9.67400410445407e-05
[5140] train loss: 0.40662630647420883, lr: 9.552620758768171e-05
[5160] train loss: 0.33087558299303055, lr: 9.413089719600976e-05
[5180] train loss: 0.30861032754182816, lr: 9.255966870114207e-05
[5200] train loss: 0.326498307287693, lr: 9.081878670258448e-05
[5220] train loss: 0.28732746094465256, lr: 8.891518518794328e-05
[5240] train loss: 0.30262809060513973, lr: 8.68564602569677e-05
[5260] train loss: 0.256137628108263, lr: 8.46508119138889e-05
[5280] train loss: 0.25064970552921295, lr: 8.230703679146245e-05
[5300] train loss: 0.22989612072706223, lr: 7.983447721926495e-05
[5320] train loss: 0.3522762507200241, lr: 7.724298484390602e-05
[5340] train loss: 0.3488461710512638, lr: 7.454289880115539e-05
[5360] train loss: 0.37276462838053703, lr: 7.174497295636684e-05
[5380] train loss: 0.248833280056715, lr: 6.886036862852052e-05
[5400] train loss: 0.39517465978860855, lr: 6.590057455468923e-05
[5420] train loss: 0.3011510372161865, lr: 6.28774068900384e-05
[5440] train loss: 0.3802461102604866, lr: 5.980289643048309e-05
[5460] train loss: 0.563641183078289, lr: 5.668931407853961e-05
[5480] train loss: 0.4592107906937599, lr: 5.354906534194015e-05
[5500] train loss: 0.299247432500124, lr: 5.039466850575991e-05
[5520] train loss: 0.3217143267393112, lr: 4.999999873689376e-05
[5540] train loss: 0.27402742952108383, lr: 4.999999873689376e-05
[5560] train loss: 0.2171798050403595, lr: 4.999999873689376e-05
[5580] train loss: 0.27582045644521713, lr: 4.999999873689376e-05
[5600] train loss: 0.29717225581407547, lr: 4.999999873689376e-05
[5620] train loss: 0.35534579679369926, lr: 4.999999873689376e-05
[5640] train loss: 6.314616098999977, lr: 4.999999873689376e-05
[5660] train loss: 2.232024446129799, lr: 4.999999873689376e-05
[5680] train loss: 6.318647250533104, lr: 4.999999873689376e-05
[5700] train loss: 0.9466088190674782, lr: 4.999999873689376e-05
[5720] train loss: 0.5893546417355537, lr: 4.999999873689376e-05
[5740] train loss: 0.4391802288591862, lr: 4.999999873689376e-05
[5760] train loss: 0.301317673176527, lr: 4.999999873689376e-05
[5780] train loss: 0.22366905212402344, lr: 4.999999873689376e-05
[5800] train loss: 0.2206009142100811, lr: 4.999999873689376e-05
[5820] train loss: 0.20165161043405533, lr: 4.999999873689376e-05
[5840] train loss: 0.21535046957433224, lr: 4.999999873689376e-05
[5860] train loss: 0.16887984424829483, lr: 4.999999873689376e-05
[5880] train loss: 0.17004750296473503, lr: 4.999999873689376e-05
[5900] train loss: 0.18113853968679905, lr: 4.999999873689376e-05
[5920] train loss: 0.1873687021434307, lr: 4.999999873689376e-05
[5940] train loss: 0.19145150110125542, lr: 4.999999873689376e-05
[5960] train loss: 0.17692678049206734, lr: 4.999999873689376e-05
[5980] train loss: 0.19308876432478428, lr: 4.999999873689376e-05
[6000] train loss: 0.1962058860808611, lr: 4.999999873689376e-05
[6020] train loss: 0.37355953454971313, lr: 9.994393622037023e-05
[6040] train loss: 0.3808142840862274, lr: 9.969501115847379e-05
[6060] train loss: 0.2751709334552288, lr: 9.924798359861597e-05
[6080] train loss: 0.3156910091638565, lr: 9.860464342636988e-05
[6100] train loss: 0.21515646018087864, lr: 9.776754450285807e-05
[6120] train loss: 0.26209553331136703, lr: 9.67400410445407e-05
[6140] train loss: 0.27800818532705307, lr: 9.552620758768171e-05
[6160] train loss: 1.0440533310174942, lr: 9.413089719600976e-05
[6180] train loss: 0.7944486141204834, lr: 9.255966870114207e-05
[6200] train loss: 0.3922940567135811, lr: 9.081878670258448e-05
[6220] train loss: 0.5321178585290909, lr: 8.891518518794328e-05
[6240] train loss: 1.9656143486499786, lr: 8.68564602569677e-05
[6260] train loss: 3.001693621277809, lr: 8.46508119138889e-05
[6280] train loss: 5.97993266582489, lr: 8.230703679146245e-05
[6300] train loss: 11.987641528248787, lr: 7.983447721926495e-05
[6320] train loss: 6.554946184158325, lr: 7.724298484390602e-05
[6340] train loss: 8.737188398838043, lr: 7.454289880115539e-05
[6360] train loss: 3.5776017755270004, lr: 7.174497295636684e-05
[6380] train loss: 1.7297651171684265, lr: 6.886036862852052e-05
[6400] train loss: 2.7786444425582886, lr: 6.590057455468923e-05
[6420] train loss: 2.3530153185129166, lr: 6.28774068900384e-05
[6440] train loss: 3.800621435046196, lr: 5.980289643048309e-05
[6460] train loss: 1.3151065409183502, lr: 5.668931407853961e-05
[6480] train loss: 1.0288300067186356, lr: 5.354906534194015e-05
[6500] train loss: 0.6177080571651459, lr: 5.039466850575991e-05
[6520] train loss: 0.7622197419404984, lr: 4.999999873689376e-05
[6540] train loss: 0.4007163345813751, lr: 4.999999873689376e-05
[6560] train loss: 0.4751074090600014, lr: 4.999999873689376e-05
[6580] train loss: 0.6628837287425995, lr: 4.999999873689376e-05
[6600] train loss: 1.4097800068557262, lr: 4.999999873689376e-05
[6620] train loss: 0.9354461431503296, lr: 4.999999873689376e-05
[6640] train loss: 0.7431720718741417, lr: 4.999999873689376e-05
[6660] train loss: 2.6526094153523445, lr: 4.999999873689376e-05
[6680] train loss: 1.1580516248941422, lr: 4.999999873689376e-05
[6700] train loss: 0.5112322196364403, lr: 4.999999873689376e-05
[6720] train loss: 0.3681814894080162, lr: 4.999999873689376e-05
[6740] train loss: 0.3659946694970131, lr: 4.999999873689376e-05
[6760] train loss: 0.40232790261507034, lr: 4.999999873689376e-05
[6780] train loss: 0.44152190536260605, lr: 4.999999873689376e-05
[6800] train loss: 1.410024881362915, lr: 4.999999873689376e-05
[6820] train loss: 3.267625942826271, lr: 4.999999873689376e-05
[6840] train loss: 4.374768510460854, lr: 4.999999873689376e-05
[6860] train loss: 4.6529733538627625, lr: 4.999999873689376e-05
[6880] train loss: 4.453149288892746, lr: 4.999999873689376e-05
[6900] train loss: 4.349405124783516, lr: 4.999999873689376e-05
[6920] train loss: 2.0242654532194138, lr: 4.999999873689376e-05
[6940] train loss: 2.470596268773079, lr: 4.999999873689376e-05
[6960] train loss: 2.908314771950245, lr: 4.999999873689376e-05
[6980] train loss: 1.0553909689188004, lr: 4.999999873689376e-05
[7000] train loss: 0.6824830546975136, lr: 4.999999873689376e-05
[7020] train loss: 0.3990703225135803, lr: 9.994393622037023e-05
[7040] train loss: 0.27699970081448555, lr: 9.969501115847379e-05
[7060] train loss: 0.8593226186931133, lr: 9.924798359861597e-05
[7080] train loss: 1.1913828700780869, lr: 9.860464342636988e-05
[7100] train loss: 4.12409582734108, lr: 9.776754450285807e-05
[7120] train loss: 1.1937723755836487, lr: 9.67400410445407e-05
[7140] train loss: 1.3050104528665543, lr: 9.552620758768171e-05
[7160] train loss: 0.7876900434494019, lr: 9.413089719600976e-05
[7180] train loss: 4.548667252063751, lr: 9.255966870114207e-05
[7200] train loss: 9.122907042503357, lr: 9.081878670258448e-05
[7220] train loss: 10.871195942163467, lr: 8.891518518794328e-05
[7240] train loss: 4.839368849992752, lr: 8.68564602569677e-05
[7260] train loss: 4.8440486788749695, lr: 8.46508119138889e-05
[7280] train loss: 4.129139810800552, lr: 8.230703679146245e-05
[7300] train loss: 2.4822951555252075, lr: 7.983447721926495e-05
[7320] train loss: 3.0782079100608826, lr: 7.724298484390602e-05
[7340] train loss: 14.38907241821289, lr: 7.454289880115539e-05
[7360] train loss: 2.9461172968149185, lr: 7.174497295636684e-05
[7380] train loss: 7.4371064603328705, lr: 6.886036862852052e-05
[7400] train loss: 5.935260474681854, lr: 6.590057455468923e-05
[7420] train loss: 3.6730815768241882, lr: 6.28774068900384e-05
[7440] train loss: 7.504331111907959, lr: 5.980289643048309e-05
[7460] train loss: 3.894548535346985, lr: 5.668931407853961e-05
[7480] train loss: 2.331757813692093, lr: 5.354906534194015e-05
[7500] train loss: 7.881805703043938, lr: 5.039466850575991e-05
[7520] train loss: 21.878046810626984, lr: 4.999999873689376e-05
[7540] train loss: 23.055271804332733, lr: 4.999999873689376e-05
[7560] train loss: 7.073020875453949, lr: 4.999999873689376e-05
[7580] train loss: 4.017941266298294, lr: 4.999999873689376e-05
[7600] train loss: 3.5583766996860504, lr: 4.999999873689376e-05
[7620] train loss: 2.939421445131302, lr: 4.999999873689376e-05
[7640] train loss: 4.353197567164898, lr: 4.999999873689376e-05
[7660] train loss: 7.163691952824593, lr: 4.999999873689376e-05
[7680] train loss: 5.286718040704727, lr: 4.999999873689376e-05
[7700] train loss: 5.173914849758148, lr: 4.999999873689376e-05
[7720] train loss: 6.167188286781311, lr: 4.999999873689376e-05
[7740] train loss: 3.435719221830368, lr: 4.999999873689376e-05
[7760] train loss: 2.2946910560131073, lr: 4.999999873689376e-05
[7780] train loss: 5.146916836500168, lr: 4.999999873689376e-05
[7800] train loss: 4.770622834563255, lr: 4.999999873689376e-05
[7820] train loss: 7.383356988430023, lr: 4.999999873689376e-05
[7840] train loss: 4.115077540278435, lr: 4.999999873689376e-05
[7860] train loss: 2.4388300478458405, lr: 4.999999873689376e-05
[7880] train loss: 3.243037760257721, lr: 4.999999873689376e-05
[7900] train loss: 9.561778217554092, lr: 4.999999873689376e-05
[7920] train loss: 4.258564114570618, lr: 4.999999873689376e-05
[7940] train loss: 5.116582244634628, lr: 4.999999873689376e-05
[7960] train loss: 4.12248420715332, lr: 4.999999873689376e-05
[7980] train loss: 10.350138545036316, lr: 4.999999873689376e-05
[8000] train loss: 5.182218670845032, lr: 4.999999873689376e-05
[8020] train loss: 2.618437260389328, lr: 9.994393622037023e-05
[8040] train loss: 3.846382290124893, lr: 9.969501115847379e-05
[8060] train loss: 3.536705993115902, lr: 9.924798359861597e-05
[8080] train loss: 1.9596226960420609, lr: 9.860464342636988e-05
[8100] train loss: 1.5785145238041878, lr: 9.776754450285807e-05
[8120] train loss: 3.0865675806999207, lr: 9.67400410445407e-05
[8140] train loss: 3.992071256041527, lr: 9.552620758768171e-05
[8160] train loss: 1.4565091282129288, lr: 9.413089719600976e-05
[8180] train loss: 1.9875947684049606, lr: 9.255966870114207e-05
[8200] train loss: 1.493351474404335, lr: 9.081878670258448e-05
[8220] train loss: 0.8461794555187225, lr: 8.891518518794328e-05
[8240] train loss: 0.5617341846227646, lr: 8.68564602569677e-05
[8260] train loss: 0.5983661413192749, lr: 8.46508119138889e-05
[8280] train loss: 0.503315195441246, lr: 8.230703679146245e-05
[8300] train loss: 0.561048150062561, lr: 7.983447721926495e-05
[8320] train loss: 0.8215358629822731, lr: 7.724298484390602e-05
[8340] train loss: 0.54704749584198, lr: 7.454289880115539e-05
[8360] train loss: 0.4721139073371887, lr: 7.174497295636684e-05
[8380] train loss: 0.7520867437124252, lr: 6.886036862852052e-05
[8400] train loss: 0.6571703553199768, lr: 6.590057455468923e-05
[8420] train loss: 1.6011640951037407, lr: 6.28774068900384e-05
[8440] train loss: 2.254181072115898, lr: 5.980289643048309e-05
[8460] train loss: 1.4490630328655243, lr: 5.668931407853961e-05
[8480] train loss: 1.1755176931619644, lr: 5.354906534194015e-05
[8500] train loss: 0.8337455093860626, lr: 5.039466850575991e-05
[8520] train loss: 1.1393106430768967, lr: 4.999999873689376e-05
[8540] train loss: 0.9105096161365509, lr: 4.999999873689376e-05
[8560] train loss: 1.7573541551828384, lr: 4.999999873689376e-05
